Epoch 1, Training Loss: 1955.270263671875, Validation Loss: 1889.8556722005208
Epoch 2, Training Loss: 2012.0574951171875, Validation Loss: 1845.8988444010417
Epoch 3, Training Loss: 1780.7349853515625, Validation Loss: 1787.2126871744792
Epoch 4, Training Loss: 1498.448974609375, Validation Loss: 1728.918212890625
Epoch 5, Training Loss: 1331.3345947265625, Validation Loss: 1677.9153645833333
Epoch 6, Training Loss: 1178.2767333984375, Validation Loss: 1630.0117594401042
Epoch 7, Training Loss: 1895.9337158203125, Validation Loss: 1582.4619140625
Epoch 8, Training Loss: 1513.00390625, Validation Loss: 1537.2527262369792
Epoch 9, Training Loss: 1438.2193603515625, Validation Loss: 1493.7417399088542
Epoch 10, Training Loss: 1337.787841796875, Validation Loss: 1451.084228515625
Epoch 11, Training Loss: 1417.974609375, Validation Loss: 1409.5741780598958
Epoch 12, Training Loss: 1352.94091796875, Validation Loss: 1369.8365885416667
Epoch 13, Training Loss: 1326.529052734375, Validation Loss: 1331.5784505208333
Epoch 14, Training Loss: 1125.53662109375, Validation Loss: 1294.1680094401042
Epoch 15, Training Loss: 1220.625244140625, Validation Loss: 1257.9300537109375
Epoch 16, Training Loss: 1214.13037109375, Validation Loss: 1223.5087076822917
Epoch 17, Training Loss: 1251.047119140625, Validation Loss: 1188.9220784505208
Epoch 18, Training Loss: 1172.494873046875, Validation Loss: 1155.4613850911458
Epoch 19, Training Loss: 1132.903564453125, Validation Loss: 1122.851318359375
Epoch 20, Training Loss: 1227.49072265625, Validation Loss: 1091.4206136067708
Epoch 21, Training Loss: 1159.1451416015625, Validation Loss: 1060.8336181640625
Epoch 22, Training Loss: 1116.310791015625, Validation Loss: 1031.0438842773438
Epoch 23, Training Loss: 1183.0001220703125, Validation Loss: 1002.2469075520834
Epoch 24, Training Loss: 1188.103515625, Validation Loss: 974.2021280924479
Epoch 25, Training Loss: 1008.688720703125, Validation Loss: 946.7043050130209
Epoch 26, Training Loss: 681.5936279296875, Validation Loss: 919.8629964192709
Epoch 27, Training Loss: 795.2403564453125, Validation Loss: 893.6353149414062
Epoch 28, Training Loss: 901.0335693359375, Validation Loss: 868.9660237630209
Epoch 29, Training Loss: 899.0700073242188, Validation Loss: 844.1658121744791
Epoch 30, Training Loss: 714.9393310546875, Validation Loss: 820.4265950520834
Epoch 31, Training Loss: 631.3328857421875, Validation Loss: 797.5879720052084
Epoch 32, Training Loss: 626.9852294921875, Validation Loss: 774.7011515299479
Epoch 33, Training Loss: 584.9354248046875, Validation Loss: 752.9079182942709
Epoch 34, Training Loss: 892.1427001953125, Validation Loss: 732.3421630859375
Epoch 35, Training Loss: 499.6146240234375, Validation Loss: 710.9005126953125
Epoch 36, Training Loss: 805.894287109375, Validation Loss: 691.3103637695312
Epoch 37, Training Loss: 662.6077270507812, Validation Loss: 671.4503784179688
Epoch 38, Training Loss: 509.35595703125, Validation Loss: 652.7155558268229
Epoch 39, Training Loss: 608.8012084960938, Validation Loss: 634.1641642252604
Epoch 40, Training Loss: 570.080810546875, Validation Loss: 616.5651245117188
Epoch 41, Training Loss: 477.9974365234375, Validation Loss: 599.3390502929688
Epoch 42, Training Loss: 507.8731994628906, Validation Loss: 582.9349161783854
Epoch 43, Training Loss: 511.0024719238281, Validation Loss: 566.492431640625
Epoch 44, Training Loss: 775.5054931640625, Validation Loss: 551.1001586914062
Epoch 45, Training Loss: 656.9700927734375, Validation Loss: 535.6165974934896
Epoch 46, Training Loss: 395.0382995605469, Validation Loss: 520.5587463378906
Epoch 47, Training Loss: 291.8699951171875, Validation Loss: 506.3861490885417
Epoch 48, Training Loss: 275.0753479003906, Validation Loss: 493.15179443359375
Epoch 49, Training Loss: 569.3088989257812, Validation Loss: 479.38084920247394
Epoch 50, Training Loss: 475.28570556640625, Validation Loss: 466.6577555338542
Epoch 51, Training Loss: 440.7351989746094, Validation Loss: 453.8789469401042
Epoch 52, Training Loss: 471.0649108886719, Validation Loss: 441.832763671875
Epoch 53, Training Loss: 495.1336669921875, Validation Loss: 429.8798421223958
Epoch 54, Training Loss: 291.2947998046875, Validation Loss: 418.28783162434894
Epoch 55, Training Loss: 322.2931213378906, Validation Loss: 407.8827209472656
Epoch 56, Training Loss: 290.71453857421875, Validation Loss: 396.8478291829427
Epoch 57, Training Loss: 248.25645446777344, Validation Loss: 386.8407897949219
Epoch 58, Training Loss: 354.1759948730469, Validation Loss: 377.1738688151042
Epoch 59, Training Loss: 238.4564666748047, Validation Loss: 368.2369791666667
Epoch 60, Training Loss: 367.5328369140625, Validation Loss: 358.26744588216144
Epoch 61, Training Loss: 440.07794189453125, Validation Loss: 349.5426737467448
Epoch 62, Training Loss: 170.9175567626953, Validation Loss: 341.55579630533856
Epoch 63, Training Loss: 309.91595458984375, Validation Loss: 333.0966288248698
